corpid,campaign_id,strategy,updated_time,file_name,drops,checking,cd,money_market,checking_client_households,cd_client_households,money_market_client_households,checking_zip_households,cd_zip_households,money_market_zip_households,checking_penetration,cd_penetration,money_market_penetration,cd_segments,checking_segments,money_market_segments
94465,9e5c875e-0100-1,Comprehensive Strategy,2023-06-01,94465_MCIF_20230601.csv,491,21,42,32,450,164,151,1159,1056,1567,0.3883,0.1553,0.0964,High,High,High
94465,9e5c875e-0100-2,Comprehensive Strategy,2023-08-30,94465_MCIF_20230830.csv,728,35,50,46,423,169,338,2155,396,1787,0.1963,0.4268,0.1891,Low,Low,Med
94466,9e5c875e-0101-1,Comprehensive Strategy,2023-06-08,94466_MCIF_20230608.csv,518,29,18,53,206,131,437,1571,679,1306,0.1311,0.1929,0.3346,Med,High,High
94466,9e5c875e-0101-2,Comprehensive Strategy,2023-09-06,94466_MCIF_20230906.csv,757,15,34,39,589,99,263,1793,917,1104,0.3285,0.108,0.2382,High,Med,High
94466,9e5c875e-0101-3,Comprehensive Strategy,2023-12-05,94466_MCIF_20231205.csv,467,34,50,9,765,200,401,2531,770,1883,0.3023,0.2597,0.213,High,Low,High
94467,9e5c875e-0102-1,Comprehensive Strategy,2023-06-15,94467_MCIF_20230615.csv,495,36,47,22,664,375,266,1497,954,1293,0.4436,0.3931,0.2057,Low,Low,Low
94467,9e5c875e-0102-2,Comprehensive Strategy,2023-09-13,94467_MCIF_20230913.csv,742,30,34,29,273,361,405,1123,1107,1206,0.2431,0.3261,0.3358,Med,Low,Low
94467,9e5c875e-0102-3,Comprehensive Strategy,2023-12-12,94467_MCIF_20231212.csv,462,39,7,56,770,162,430,1934,1148,844,0.3981,0.1411,0.5095,Med,Med,Med
94467,9e5c875e-0102-4,Comprehensive Strategy,2024-03-11,94467_MCIF_20240311.csv,261,73,30,46,267,158,370,2237,680,1105,0.1194,0.2324,0.3348,Med,High,Med
94468,9e5c875e-0103-1,Comprehensive Strategy,2023-06-22,94468_MCIF_20230622.csv,505,27,37,36,798,269,378,2115,839,1127,0.3773,0.3206,0.3354,High,High,High
94468,9e5c875e-0103-2,Comprehensive Strategy,2023-09-20,94468_MCIF_20230920.csv,749,59,29,43,356,371,161,2249,1003,591,0.1583,0.3699,0.2724,Med,Low,Med
94468,9e5c875e-0103-3,Comprehensive Strategy,2023-12-19,94468_MCIF_20231219.csv,437,44,46,26,766,55,428,2742,372,1827,0.2794,0.1478,0.2343,High,Med,Med
94469,9e5c875e-0104-1,Comprehensive Strategy,2023-06-29,94469_MCIF_20230629.csv,519,48,45,37,469,306,470,1334,1025,987,0.3516,0.2985,0.4762,Low,High,High
94469,9e5c875e-0104-2,Comprehensive Strategy,2023-09-27,94469_MCIF_20230927.csv,716,72,6,12,582,132,356,2168,332,1319,0.2685,0.3976,0.2699,Med,Med,High
94469,9e5c875e-0104-3,Comprehensive Strategy,2023-12-26,94469_MCIF_20231226.csv,434,18,39,54,259,173,370,920,460,1665,0.2815,0.3761,0.2222,High,High,Low
94470,9e5c875e-0105-1,Comprehensive Strategy,2023-07-06,94470_MCIF_20230706.csv,525,66,38,33,752,152,445,1890,760,1509,0.3979,0.2,0.2949,High,High,High
94470,9e5c875e-0105-2,Comprehensive Strategy,2023-10-04,94470_MCIF_20231004.csv,736,38,5,9,265,223,90,1969,990,861,0.1346,0.2253,0.1045,Low,Low,High
94470,9e5c875e-0105-3,Comprehensive Strategy,2024-01-02,94470_MCIF_20240102.csv,429,40,22,47,434,84,96,1610,356,1448,0.2696,0.236,0.0663,Med,High,Low
94470,9e5c875e-0105-4,Comprehensive Strategy,2024-04-01,94470_MCIF_20240401.csv,254,62,17,11,335,342,375,1803,790,1643,0.1858,0.4329,0.2282,High,Low,Med
94470,9e5c875e-0105-5,Comprehensive Strategy,2024-06-30,94470_MCIF_20240630.csv,161,22,8,30,562,266,290,2018,1212,700,0.2785,0.2195,0.4143,Low,Med,High
94471,9e5c875e-0106-1,Comprehensive Strategy,2023-07-13,94471_MCIF_20230713.csv,502,66,40,11,632,143,222,2079,598,676,0.304,0.2391,0.3284,High,Low,Low
94471,9e5c875e-0106-2,Comprehensive Strategy,2023-10-11,94471_MCIF_20231011.csv,706,72,35,18,215,97,465,1199,467,1597,0.1793,0.2077,0.2912,Med,High,High
94471,9e5c875e-0106-3,Comprehensive Strategy,2024-01-09,94471_MCIF_20240109.csv,405,64,49,51,588,51,279,1631,716,1163,0.3605,0.0712,0.2399,Low,Low,Low
94472,9e5c875e-0107-1,Comprehensive Strategy,2023-07-20,94472_MCIF_20230720.csv,499,74,38,15,262,210,109,864,1008,1385,0.3032,0.2083,0.0787,High,Low,High
94472,9e5c875e-0107-2,Comprehensive Strategy,2023-10-18,94472_MCIF_20231018.csv,701,61,12,41,390,85,384,1029,976,1165,0.379,0.0871,0.3296,High,Low,Low
94472,9e5c875e-0107-3,Comprehensive Strategy,2024-01-16,94472_MCIF_20240116.csv,382,76,25,21,240,367,121,1598,1240,1616,0.1502,0.296,0.0749,High,Low,Low
94472,9e5c875e-0107-4,Comprehensive Strategy,2024-04-15,94472_MCIF_20240415.csv,201,68,25,53,521,172,215,1831,506,1129,0.2845,0.3399,0.1904,High,High,Med
94472,9e5c875e-0107-5,Comprehensive Strategy,2024-07-14,94472_MCIF_20240714.csv,122,43,13,27,776,101,117,2377,519,1453,0.3265,0.1946,0.0805,High,High,Med
94473,9e5c875e-0108-1,Comprehensive Strategy,2023-07-27,94473_MCIF_20230727.csv,500,27,21,12,741,54,421,2376,560,933,0.3119,0.0964,0.4512,High,Low,Low
94473,9e5c875e-0108-2,Comprehensive Strategy,2023-10-25,94473_MCIF_20231025.csv,720,36,48,45,359,189,224,2097,604,1226,0.1712,0.3129,0.1827,Med,Low,Med
94473,9e5c875e-0108-3,Comprehensive Strategy,2024-01-23,94473_MCIF_20240123.csv,421,15,5,26,457,76,127,2256,709,993,0.2026,0.1072,0.1279,High,Low,Med
94473,9e5c875e-0108-4,Comprehensive Strategy,2024-04-22,94473_MCIF_20240422.csv,234,11,12,9,365,276,362,2310,913,1810,0.158,0.3023,0.2,Low,High,Low
94474,9e5c875e-0109-1,Comprehensive Strategy,2023-08-03,94474_MCIF_20230803.csv,513,15,27,18,351,270,145,936,785,1191,0.375,0.3439,0.1217,Low,High,Low
94474,9e5c875e-0109-2,Comprehensive Strategy,2023-11-01,94474_MCIF_20231101.csv,749,40,15,56,305,231,479,1951,847,1095,0.1563,0.2727,0.4374,High,Med,High
